team1,team2,goals_1,penalties_1,direct_free_hits_1,warnings_1,blue_cards_1,fouls_1,goals_2,penalties_2,direct_free_hits_2,warnings_2,blue_cards_2,fouls_2,date,ref1,ref2,ref3,gr1_1_played,gr1_1_name,gr1_1_saves,pl1_1_played,pl1_1_name,pl1_1_goals,pl1_1_pens,pl1_1_dfh,pl2_1_played,pl2_1_name,pl2_1_goals,pl2_1_pens,pl2_1_dfh,pl3_1_played,pl3_1_name,pl3_1_goals,pl3_1_pens,pl3_1_dfh,pl4_1_played,pl4_1_name,pl4_1_goals,pl4_1_pens,pl4_1_dfh,pl5_1_played,pl5_1_name,pl5_1_goals,pl5_1_pens,pl5_1_dfh,pl6_1_played,pl6_1_name,pl6_1_goals,pl6_1_pens,pl6_1_dfh,pl7_1_played,pl7_1_name,pl7_1_goals,pl7_1_pens,pl7_1_dfh,pl8_1_played,pl8_1_name,pl8_1_goals,pl8_1_pens,pl8_1_dfh,gr2_1_played,gr2_1_name,gr2_1_saves,gr1_2_played,gr1_2_name,gr1_2_saves,pl1_2_played,pl1_2_name,pl1_2_goals,pl1_2_pens,pl1_2_dfh,pl2_2_played,pl2_2_name,pl2_2_goals,pl2_2_pens,pl2_2_dfh,pl3_2_played,pl3_2_name,pl3_2_goals,pl3_2_pens,pl3_2_dfh,pl4_2_played,pl4_2_name,pl4_2_goals,pl4_2_pens,pl4_2_dfh,pl5_2_played,pl5_2_name,pl5_2_goals,pl5_2_pens,pl5_2_dfh,pl6_2_played,pl6_2_name,pl6_2_goals,pl6_2_pens,pl6_2_dfh,pl7_2_played,pl7_2_name,pl7_2_goals,pl7_2_pens,pl7_2_dfh,pl8_2_played,pl8_2_name,pl8_2_goals,pl8_2_pens,pl8_2_dfh,gr2_2_played,gr2_2_name,gr2_2_saves
SL BENFICA 1617,AD VALONGO 1617,15,0/0,0/0,0,0,13,4,0/0,0/0,0,0,6,2016-10-01 00:00:00,MIGUEL GUILHERME,PAULO CARVALHO,RUI NAVE,,GUILLEM TRABAL,0,,VALTER NEVES,2,0/0,0/0,,DIOGO RAFAEL,1,0/0,0/0,,CARLOS NICOLIA,2,0/0,0/0,,JORDI ADROHER,3,0/0,0/0,,JOAO RODRIGUES,2,0/0,0/0,,TIAGO RAFAEL,0,0/0,0/0,,MIGUEL ROCHA,5,0/0,0/0,,JOÃO SARDO,0,0/0,0/0,,DIOGO ALMEIDA,0,,LEONARDO PAIS,0,,JOÃO GUIMARÃES,0,0/0,0/0,,GUILHERME SILVA,0,0/0,0/0,,LUÍS MELO,4,0/0,0/0,,JOÃO ALMEIDA,0,0/0,0/0,,XAVIER CARDOSO,0,0/0,0/0,,PEDRO MENDES,0,0/0,0/0,,RÚBEN PEREIRA,0,0/0,0/0,,TOMÁS PEREIRA,0,0/0,0/0,,RUI MENDES,0
UD OLIVEIRENSE/SIMOLDES 1617,RIBA D AVE HC 1617,7,0/0,0/0,0,0,16,4,0/0,0/0,0,2,13,2016-10-01 00:00:00,JULIO TEIXEIRA,ANTONIO SANTOS,JOSE LASALETTE,,NUNO ARAÚJO,0,,PEDRO MOREIRA,0,0/0,0/0,,BRUNO FERNANDES,0,0/0,0/0,,JORDI BARGALLÓ,2,0/0,0/0,,DOMINGOS PINHO,0,0/0,0/0,,JOSEP SELVA,2,0/0,0/0,,JOÃO SOUTO,1,0/0,0/0,,PABLO CANCELA,0,0/0,0/0,,RICARDO BARREIROS,1,0/0,0/0,,XAVIER PUIGBI,0,,JOÃO COSTA,0,,RICARDO LOPES,0,0/0,0/0,,DANIEL PINHEIRO,0,0/0,0/0,,RAUL LOPES,1,0/0,0/0,,TIAGO PIMENTA,2,0/0,0/0,,NUNO PEREIRA,0,0/0,0/0,,AFONSO FERRO,0,0/0,0/0,,HUGO FERNANDO GUIMARÃES AZEVEDO,1,0/0,0/0,,BRUNO PINTO,0,0/0,0/0,,VITOR MOREIRA,0
FC PORTO FIDELIDADE 1617,OC BARCELOS 1617,4,0/0,2/3,0,3,15,2,0/0,1/6,0,2,17,2016-10-01 00:00:00,JOSE PINTO,PAULO SANTOS,PEDRO SILVA,,CARLES GRAU,0,,VITOR PINTO,0,0/0,0/0,,TELMO PINTO,0,0/0,0/0,,JOSE RAFAEL COSTA,0,0/0,0/0,,JORGE SILVA,0,0/0,0/0,,REINALDO GARCIA,0,0/0,0/0,,GONÇALO ALVES,1,0/0,0/1,,HELDER NUNES,2,0/0,2/2,,TON BALIU,1,0/0,0/0,,NELSON FILIPE MAGALHAES,0,,RICARDO SILVA,0,,PEDRO SILVA,0,0/0,0/0,,AFONSO LIMA,0,0/0,0/0,,JOÃO GUIMARÃES,0,0/0,0/0,,RÚBEN SOUSA,0,0/0,0/0,,HUGO COSTA,0,0/0,0/0,,LUÍS QUERIDO,0,0/0,0/1,,REINALDO VENTURA,2,0/0,1/3,,MIGUEL VIEIRA,0,0/0,0/2,,JOÃO PEREIRA,0
AD SANJOANENSE 1617,AJ VIANA 1617,2,0/0,0/0,0,0,13,2,0/0,1/1,0,1,11,2016-10-01 00:00:00,PAULO RAINHA,JOAQUIM PINTO,MARCO GOMES,,MARCO LOPES,0,,FILIPE SOUSA,0,0/0,0/0,,ALEXANDER MOUNT,0,0/0,0/0,,TIAGO ALMEIDA,0,0/0,0/0,,DIOGO CARDOSO,0,0/0,0/0,,AFONSO SANTOS,0,0/0,0/0,,PEDRO CERQUEIRA,2,0/0,0/0,,CLÁUDIO LIMA,0,0/0,0/0,,FRANCISCO JOSÉ N. PEREIRA PINHO BARREIRA,0,0/0,0/0,,DAVID NOGUEIRA,0,,JORGE CORREIA,0,,GUSTAVO LIMA,0,0/0,0/0,,FRANCISCO SILVA,1,0/0,0/0,,DIOGO FERNANDES,0,0/0,0/0,,ANTÓNIO SILVA,1,0/0,1/1,,NUNO FÉLIX,0,0/0,0/0,,GONÇALO SUISSAS,0,0/0,0/0,,NUNO SANTOS,0,0/0,0/0,,NELSON PEREIRA,0,0/0,0/0,,JUAN EDO BOSCH,0
CD PAÇO ARCOS 1617,HC TURQUEL 1617,6,0/0,0/0,0,2,17,3,0/0,0/0,0,2,12,2016-10-01 00:00:00,LUIS PEIXOTO,JOAO DUARTE,GISELA INFANTE,,NUNO TEIXEIRA,0,,TIAGO GOUVEIA,1,0/0,0/0,,NELSON RIBEIRO,2,0/0,0/0,,DIEGO DIAS,0,0/0,0/0,,JOSÉ MIGUEL DANTAS,1,0/0,0/0,,DIOGO SILVA,0,0/0,0/0,,TIAGO SANTOS,1,0/0,0/0,,RICARDO PEREIRA,1,0/0,0/0,,FÁBIO QUINTINO,0,0/0,0/0,,DIOGO ALVES,0,,SAMUEL SANTOS,0,,DANIEL MATIAS,0,0/0,0/0,,VASCO LUIS,3,0/0,0/0,,LUIS SILVA,0,0/0,0/0,,ANDRÉ FERREIRA,0,0/0,0/0,,PEDRO VAZ,0,0/0,0/0,,JOÃO SILVA,0,0/0,0/0,,TIAGO MATEUS,0,0/0,0/0,,ALEXANDRE MARQUES,0,0/0,0/0,,MARCO BARROS,0
SPORTING CP 1617,VALENÇA HC 1617,12,0/0,0/0,0,1,17,2,0/0,0/0,0,2,14,2016-10-01 00:00:00,RUI TORRES,ORLANDO PANZA,MIGUEL TORRES,,ÂNGELO GIRÃO,0,,FERRAN FONT,2,0/0,0/0,,ESTEBAN ABALOS,1,0/0,0/0,,PEDRO GIL,1,0/0,0/0,,JOÃO PINTO,1,0/0,0/0,,DANIEL OLIVEIRA,1,0/0,0/0,,ANDRÉ CENTENO,1,0/0,0/0,,RICARDO OLIVEIRA,2,0/0,0/0,,SERGIO MIRAS,3,0/0,0/0,,JOSÉ DIOGO MACEDO,0,,RODOLFO SOBRAL,0,,LUÍS VIANA,1,0/0,0/0,,JOSÉ BRAGA,1,0/0,0/0,,GIL VICENTE,0,0/0,0/0,,TIAGO FERRAZ,0,0/0,0/0,,MIGUEL FERNANDES,0,0/0,0/0,,JOSÉ CAMPOS,0,0/0,0/0,,TIAGO PEREIRA,0,0/0,0/0,,HÉLDER MARTINS,0,0/0,0/0,,PAULO MATOS,0
AD VALONGO 1617,SPORTING CP 1617,2,0/0,0/0,0,2,18,4,0/0,0/0,0,0,20,2016-10-08 00:00:00,PAULO RAINHA,JULIO TEIXEIRA,PEDRO SILVA,,LEONARDO PAIS,0,,TOMÁS PEREIRA,1,0/0,0/0,,HUGO BARATA,0,0/0,0/0,,JOÃO GUIMARÃES,0,0/0,0/0,,LUÍS MELO,0,0/0,0/0,,JOÃO ALMEIDA,1,0/0,0/0,,XAVIER CARDOSO,0,0/0,0/0,,PEDRO MENDES,0,0/0,0/0,,RÚBEN PEREIRA,0,0/0,0/0,,NUNO PINTO,0,,ÂNGELO GIRÃO,0,,FERRAN FONT,0,0/0,0/0,,ESTEBAN ABALOS,0,0/0,0/0,,PEDRO GIL,3,0/0,0/0,,JOÃO PINTO,1,0/0,0/0,,DANIEL OLIVEIRA,0,0/0,0/0,,ANDRÉ CENTENO,0,0/0,0/0,,RICARDO OLIVEIRA,0,0/0,0/0,,SERGIO MIRAS,0,0/0,0/0,,JOSÉ DIOGO MACEDO,0
AJ VIANA 1617,FC PORTO FIDELIDADE 1617,4,0/0,0/0,0,1,12,8,0/0,0/0,0,1,12,2016-10-08 00:00:00,JOAO DUARTE,LUIS PEIXOTO,VALTER ESTEVES,,TELMO FERNANDES,0,,GUSTAVO LIMA,0,0/0,0/0,,FRANCISCO SILVA,0,0/0,0/0,,DIOGO FERNANDES,1,0/0,0/0,,ANTÓNIO SILVA,2,0/0,0/0,,GONÇALO SUISSAS,0,0/0,0/0,,NUNO SANTOS,0,0/0,0/0,,ANDRÉ AZEVEDO,0,0/0,0/0,,NELSON PEREIRA,1,0/0,0/0,,JORGE CORREIA ©,0,,CARLES GRAU,0,,VITOR PINTO,2,0/0,0/0,,TELMO PINTO,1,0/0,0/0,,JOSE RAFAEL COSTA,0,0/0,0/0,,JORGE SILVA,1,0/0,0/0,,REINALDO GARCIA,1,0/0,0/0,,GONÇALO ALVES,0,0/0,0/0,,HELDER NUNES,1,0/0,0/0,,TON BALIU,2,0/0,0/0,,NELSON FILIPE MAGALHAES,0
HC TURQUEL 1617,AD SANJOANENSE 1617,5,0/0,0/0,0,0,11,4,0/0,0/0,0,2,12,2016-10-08 00:00:00,MIGUEL GUILHERME,RICARDO LEAO,GISELA INFANTE,,SAMUEL SANTOS,0,,DANIEL MATIAS,0,0/0,0/0,,VASCO LUIS,3,0/0,0/0,,LUIS SILVA,0,0/0,0/0,,ANDRÉ FERREIRA,0,0/0,0/0,,PEDRO VAZ,1,0/0,0/0,,JOÃO SILVA,0,0/0,0/0,,TIAGO MATEUS,0,0/0,0/0,,ALEXANDRE MARQUES,1,0/0,0/0,,MARCO BARROS,0,,MARCO LOPES,0,,FILIPE SOUSA,1,0/0,0/0,,ALEXANDER MOUNT,0,0/0,0/0,,JOÃO PEDRO SANTOS OLIVEIRA,0,0/0,0/0,,TIAGO ALMEIDA,0,0/0,0/0,,DIOGO CARDOSO,1,0/0,0/0,,AFONSO SANTOS,1,0/0,0/0,,PEDRO CERQUEIRA,1,0/0,0/0,,FRANCISCO JOSÉ N. PEREIRA PINHO BARREIRA,0,0/0,0/0,,DAVID NOGUEIRA,0
SC TOMAR/IPT 1617,CD PAÇO ARCOS 1617,7,0/0,0/0,0,1,8,3,0/0,0/0,0,5,10,2016-10-08 00:00:00,TEOFILO CASIMIRO,RUI TABORDA,HELDER PARDAL,,MARCO GASPAR,0,,JOÃO LOMBA,1,0/0,0/0,,DAVID COSTA,0,0/0,0/0,,IVO SILVA,3,0/0,0/0,,PAULO PASSOS,0,0/0,0/0,,HERNANI DINIZ,3,0/0,0/0,,JOÃO ALVES,0,0/0,0/0,,TIAGO GODINHO,0,0/0,0/0,,PEDRO MARTINS,0,0/0,0/0,,NUNO PEÇA,0,,NUNO TEIXEIRA,0,,TIAGO GOUVEIA,0,0/0,0/0,,RUI PEREIRA,0,0/0,0/0,,NELSON RIBEIRO,1,0/0,0/0,,DIEGO DIAS,0,0/0,0/0,,JOSÉ MIGUEL DANTAS,1,0/0,0/0,,DIOGO SILVA,1,0/0,0/0,,TIAGO SANTOS,0,0/0,0/0,,FÁBIO QUINTINO,0,0/0,0/0,,DIOGO ALVES,0
VALENÇA HC 1617,CANDELARIA SC 1617,1,0/0,0/0,0,0,6,3,0/0,0/0,0,0,10,2016-10-08 00:00:00,DOMINGOS CARVALHO,SILVIA COELHO,CARLOS TADEIA,,RODOLFO SOBRAL,0,,LUÍS VIANA,0,0/0,0/0,,JOSÉ BRAGA,1,0/0,0/0,,GIL VICENTE,0,0/0,0/0,,TIAGO FERRAZ,0,0/0,0/0,,MIGUEL FERNANDES,0,0/0,0/0,,JOSÉ CAMPOS,0,0/0,0/0,,TIAGO PEREIRA,0,0/0,0/0,,HÉLDER MARTINS,0,0/0,0/0,,PAULO MATOS,0,,DIOGO RODRIGUES,0,,TIAGO RESENDE,1,0/0,0/0,,MÁRCIO NUNES,0,0/0,0/0,,JOÃO VIEIRA,0,0/0,0/0,,ANDRÉ MOREIRA,1,0/0,0/0,,ALAN FERNANDES,1,0/0,0/0,,PAULO PEREIRA,0,0/0,0/0,,EDGAR PEREIRA,0,0/0,0/0,,PEDRO AFONSO,0,0/0,0/0,,MILTON JORGE,0
RIBA D AVE HC 1617,SL BENFICA 1617,4,0/0,0/0,0,2,11,8,0/0,0/0,0,3,9,2016-10-12 00:00:00,PAULO SANTOS,JOSE PINTO,MANUEL SANTOS,,JOÃO COSTA,0,,RICARDO LOPES,0,0/0,0/0,,DANIEL PINHEIRO,0,0/0,0/0,,RAUL LOPES,1,0/0,0/0,,TIAGO PIMENTA,1,0/0,0/0,,NUNO PEREIRA,2,0/0,0/0,,HUGO FERNANDO GUIMARÃES AZEVEDO,0,0/0,0/0,,BRUNO PINTO,0,0/0,0/0,,VITOR MOREIRA,0,0/0,0/0,,AFONSO FERRO,0,,GUILLEM TRABAL,0,,VALTER NEVES,0,0/0,0/0,,DIOGO RAFAEL,0,0/0,0/0,,CARLOS NICOLIA,1,0/0,0/0,,JORDI ADROHER,4,0/0,0/0,,JOAO RODRIGUES,2,0/0,0/0,,TIAGO RAFAEL,0,0/0,0/0,,MIGUEL ROCHA,1,0/0,0/0,,JOÃO SARDO,0,0/0,0/0,,DIOGO ALMEIDA,0
OC BARCELOS 1617,UD OLIVEIRENSE/SIMOLDES 1617,3,0/0,0/0,0,1,8,4,0/0,0/0,0,2,14,2016-10-12 00:00:00,ORLANDO PANZA,RUI TORRES,MIGUEL TORRES,,RICARDO SILVA,0,,JOSÉ PEDRO PEREIRA,0,0/0,0/0,,JOÃO GUIMARÃES,0,0/0,0/0,,RÚBEN SOUSA,0,0/0,0/0,,HUGO COSTA,1,0/0,0/0,,JOÃO PEREIRA,0,0/0,0/0,,LUÍS QUERIDO,0,0/0,0/0,,ALVARO MORAIS,0,0/0,0/0,,REINALDO VENTURA,2,0/0,0/0,,MIGUEL VIEIRA,0,,NUNO ARAÚJO,0,,PEDRO MOREIRA,0,0/0,0/0,,BRUNO FERNANDES,0,0/0,0/0,,JORDI BARGALLÓ,2,0/0,0/0,,DOMINGOS PINHO,0,0/0,0/0,,JOSEP SELVA,0,0/0,0/0,,JOÃO SOUTO,1,0/0,0/0,,PABLO CANCELA,0,0/0,0/0,,RICARDO BARREIROS,1,0/0,0/0,,XAVIER PUIGBI,0
CANDELARIA SC 1617,SC TOMAR/IPT 1617,4,0/0,0/0,0,1,15,2,0/0,0/0,0,1,10,2016-10-15 00:00:00,JAIME VIEIRA,RUI MARTINS,JOSE CAPELO PEREIRA,X,DIOGO RODRIGUES,0,X,TIAGO RESENDE,2,0/0,0/0,,MÁRCIO NUNES,0,0/0,0/0,,JOÃO VIEIRA,0,0/0,0/0,X,ANDRÉ MOREIRA,1,0/0,0/0,X,ALAN FERNANDES,1,0/0,0/0,,PAULO PEREIRA,0,0/0,0/0,,EDGAR PEREIRA,0,0/0,0/0,X,PEDRO AFONSO,0,0/0,0/0,,MILTON JORGE,0,X,MARCO GASPAR,0,X,JOÃO LOMBA,0,0/0,0/0,,DAVID COSTA,0,0/0,0/0,X,IVO SILVA,1,0/0,0/0,,PAULO PASSOS,0,0/0,0/0,X,HERNANI DINIZ,0,0/0,0/0,X,JOÃO ALVES,1,0/0,0/0,,TIAGO GODINHO,0,0/0,0/0,,PEDRO MARTINS,0,0/0,0/0,,NUNO PEÇA,0
FC PORTO FIDELIDADE 1617,HC TURQUEL 1617,9,0/2,0/1,0,1,15,2,0/0,1/3,0,2,10,2016-10-15 00:00:00,RUI TORRES,PAULO RAINHA,CARLOS TADEIA,,CARLES GRAU,0,X,VITOR PINTO,1,0/0,0/1,,TELMO PINTO,0,0/0,0/0,,JOSE RAFAEL COSTA,1,0/0,0/0,,NELSON FILIPE MAGALHAES,0,0/0,0/0,X,JORGE SILVA,2,0/2,0/0,X,REINALDO GARCIA,2,0/0,0/0,X,GONÇALO ALVES,2,0/0,0/0,,HELDER NUNES,0,0/0,0/0,X,TON BALIU,0,,DANIEL MATIAS,0,,FRANCISCO SANTOS,0,0/0,0/0,,VASCO LUIS,1,0/0,1/2,,SAMUEL SANTOS,0,0/0,0/0,X,MARCO BARROS,0,0/0,0/0,X,LUIS SILVA,1,0/0,0/0,X,ANDRÉ PIMENTA,0,0/0,0/0,,PEDRO VAZ,0,0/0,0/0,X,JOÃO SILVA,0,0/0,0/0,X,ALEXANDRE MARQUES,0
FC PORTO FIDELIDADE 1617,VALENÇA HC 1617,6,0/0,0/0,0,0,8,0,0/0,0/0,0,1,9,2016-10-16 00:00:00,JOAQUIM PINTO,ANTONIO SANTOS,PEDRO SILVA,,CARLES GRAU,0,,VITOR PINTO,1,0/0,0/0,,TELMO PINTO,1,0/0,0/0,,JOSE RAFAEL COSTA,0,0/0,0/0,,NELSON FILIPE MAGALHAES,0,0/0,0/0,,JORGE SILVA,1,0/0,0/0,,REINALDO GARCIA,0,0/0,0/0,,GONÇALO ALVES,1,0/0,0/0,,HELDER NUNES,2,0/0,0/0,,TON BALIU,0,,LUÍS VIANA,0,,GIL VICENTE,0,0/0,0/0,,RODOLFO SOBRAL,0,0/0,0/0,,TIAGO FERRAZ,0,0/0,0/0,,MIGUEL FERNANDES,0,0/0,0/0,,JOSÉ CAMPOS,0,0/0,0/0,,TIAGO PEREIRA,0,0/0,0/0,,HÉLDER MARTINS,0,0/0,0/0,,PAULO MATOS,0,0/0,0/0,,JORGE FELGUEIRAS,--
AD VALONGO 1617,RIBA D AVE HC 1617,4,0/1,0/3,0,2,17,4,0/1,2/2,0,3,16,2016-10-22 00:00:00,DOMINGOS CARVALHO,FLORINDO CARDOSO,JOSE MANUEL PEREIRA,X,LEONARDO PAIS,0,,JOÃO GUIMARÃES,0,0/0,0/0,,HUGO BARATA,0,0/0,0/0,,GUILHERME SILVA,2,0/0,0/2,,LUÍS MELO,0,0/0,0/0,X,JOÃO ALMEIDA,1,0/0,0/0,X,XAVIER CARDOSO,0,0/0,0/0,X,PEDRO MENDES,1,0/0,0/0,X,RÚBEN PEREIRA,0,0/1,0/1,,RUI MENDES,0,,JOÃO COSTA,0,,RICARDO LOPES,0,0/0,0/0,,DANIEL PINHEIRO,0,0/0,0/0,X,RAUL LOPES,0,0/0,0/0,X,TIAGO PIMENTA,1,0/0,1/1,X,NUNO PEREIRA,0,0/0,0/0,X,HUGO FERNANDO GUIMARÃES AZEVEDO,1,0/0,0/0,,BRUNO PINTO,0,0/1,0/0,,VITOR MOREIRA,2,0/0,1/1,X,JOÃO FERREIRA,0
SL BENFICA 1617,OC BARCELOS 1617,6,0/2,0/3,0,1,11,4,0/0,1/2,0,3,12,2016-10-22 00:00:00,JOAO DUARTE,RICARDO LEAO,JOAQUIM SEQUEIRA,X,GUILLEM TRABAL,0,X,VALTER NEVES,0,0/0,0/0,,DIOGO RAFAEL,0,0/0,0/0,X,CARLOS NICOLIA,1,0/0,0/3,,JORDI ADROHER,2,0/1,0/0,X,JOAO RODRIGUES,1,0/1,0/0,,TIAGO RAFAEL,1,0/0,0/0,X,MIGUEL ROCHA,1,0/0,0/0,,JOÃO SARDO,0,0/0,0/0,,DIOGO ALMEIDA,0,X,RICARDO SILVA,0,,JOSÉ PEDRO PEREIRA,0,0/0,0/0,,JOÃO GUIMARÃES,1,0/0,0/0,,RÚBEN SOUSA,0,0/0,0/0,,HUGO COSTA,0,0/0,0/0,X,LUÍS QUERIDO,0,0/0,0/0,X,ALVARO MORAIS,3,0/0,1/1,X,REINALDO VENTURA,0,0/0,0/1,X,MIGUEL VIEIRA,0,0/0,0/0,,ANDRE ALMEIDA,0
UD OLIVEIRENSE/SIMOLDES 1617,AJ VIANA 1617,3,0/0,0/1,0,1,9,2,0/0,1/1,0,1,9,2016-10-22 00:00:00,JAIME VIEIRA,PAULO CARVALHO,ANDRE PORTAL,,DOMINGOS PINHO,0,,NUNO ARAÚJO,0,0/0,0/0,X,PEDRO MOREIRA,1,0/0,0/0,,BRUNO FERNANDES,0,0/0,0/0,X,JORDI BARGALLÓ,2,0/0,0/0,,JOSEP SELVA,0,0/0,0/1,X,JOÃO SOUTO,0,0/0,0/0,,PABLO CANCELA,0,0/0,0/0,X,RICARDO BARREIROS,0,0/0,0/0,X,XAVIER PUIGBI,0,,JORGE CORREIA ©,0,,GUSTAVO LIMA,0,0/0,0/0,X,FRANCISCO SILVA,0,0/0,0/0,,DIOGO FERNANDES,2,0/0,1/1,X,ANTÓNIO SILVA,0,0/0,0/0,,GONÇALO SUISSAS,0,0/0,0/0,,NUNO SANTOS,0,0/0,0/0,X,ANDRÉ AZEVEDO,0,0/0,0/0,X,NELSON PEREIRA,0,0/0,0/0,X,JUAN EDO BOSCH,0
AD SANJOANENSE 1617,SC TOMAR/IPT 1617,2,2/2,0/0,0,0,10,7,0/0,0/1,0,0,9,2016-10-22 00:00:00,MANUEL FERNANDES,ANTONIO SANTOS,MARCO GOMES,X,MARCO LOPES,0,X,FILIPE SOUSA,0,0/0,0/0,,JOÃO PEDRO SANTOS OLIVEIRA,0,0/0,0/0,,TIAGO ALMEIDA,0,0/0,0/0,,DIOGO CARDOSO,0,0/0,0/0,X,AFONSO SANTOS,0,0/0,0/0,X,PEDRO CERQUEIRA,2,2/2,0/0,,CLÁUDIO LIMA,0,0/0,0/0,X,FRANCISCO JOSÉ N. PEREIRA PINHO BARREIRA,0,0/0,0/0,,DAVID NOGUEIRA ©,0,X,MARCO GASPAR ©,0,,JOÃO LOMBA,0,0/0,0/0,X,DAVID COSTA,0,0/0,0/0,,IVO SILVA,2,0/0,0/0,X,PAULO PASSOS,1,0/0,0/0,,HERNANI DINIZ,1,0/0,0/0,,JOÃO ALVES,2,0/0,0/0,X,TIAGO GODINHO,1,0/0,0/1,X,PEDRO MARTINS,0,0/0,0/0,,NUNO PEÇA,0
CD PAÇO ARCOS 1617,VALENÇA HC 1617,2,0/0,0/1,0,0,10,4,0/0,1/1,0,0,12,2016-10-22 00:00:00,JOSE PINTO,PAULO SANTOS,ANTONIO ROCHA,,NUNO TEIXEIRA,0,,TIAGO GOUVEIA,0,0/0,0/0,,RUI PEREIRA,0,0/0,0/0,,NELSON RIBEIRO,1,0/0,0/0,X,JOSÉ MIGUEL DANTAS,1,0/0,0/1,X,DIOGO SILVA,0,0/0,0/0,X,TIAGO SANTOS,0,0/0,0/0,X,RICARDO PEREIRA,0,0/0,0/0,,FÁBIO QUINTINO,0,0/0,0/0,X,DIOGO ALVES,0,,LUÍS VIANA,0,X,JOSÉ BRAGA,0,0/0,0/0,X,GIL VICENTE,0,0/0,0/0,,RODOLFO SOBRAL,0,0/0,0/0,,TIAGO FERRAZ,0,0/0,0/0,X,MIGUEL FERNANDES,0,0/0,0/0,,TIAGO PEREIRA,0,0/0,0/0,X,HÉLDER MARTINS,1,0/0,0/0,,GUIDO OLIVA,0,0/0,0/0,X,PAULO MATOS,0
SPORTING CP 1617,CANDELARIA SC 1617,7,1/1,1/1,0,0,12,3,0/0,0/1,0,1,10,2016-10-22 00:00:00,MIGUEL GUILHERME,TEOFILO CASIMIRO,RÚBEN MATOS,X,ÂNGELO GIRÃO,0,,FERRAN FONT,2,0/0,0/0,X,ESTEBAN ABALOS,0,0/0,0/0,,PEDRO GIL,2,0/0,1/1,X,JOÃO PINTO,1,0/0,0/0,,DANIEL OLIVEIRA,0,0/0,0/0,X,ANDRÉ CENTENO,0,0/0,0/0,,RICARDO OLIVEIRA,0,0/0,0/0,X,SERGIO MIRAS,2,1/1,0/0,,JOSÉ DIOGO MACEDO,0,X,DIOGO RODRIGUES,0,X,TIAGO RESENDE,1,0/0,0/0,,MÁRCIO NUNES,0,0/0,0/0,,JOÃO VIEIRA,1,0/0,0/0,X,ANDRÉ MOREIRA,0,0/0,0/0,X,ALAN FERNANDES,0,0/0,0/0,,PAULO PEREIRA,0,0/0,0/0,,EDGAR PEREIRA,0,0/0,0/0,X,PEDRO AFONSO,1,0/0,0/1,,MILTON JORGE,0
RIBA D AVE HC 1617,SPORTING CP 1617,2,0/1,0/4,0,0,8,4,0/0,0/0,0,3,16,2016-10-29 00:00:00,RICARDO LEAO,PAULO CARVALHO,MIGUEL TORRES,,JOÃO COSTA,0,,RICARDO LOPES,0,0/0,0/0,X,RAUL LOPES,0,0/0,0/1,X,TIAGO PIMENTA,0,0/0,0/1,,JOÃO ABREU,0,0/0,0/0,X,NUNO PEREIRA,0,0/0,0/0,X,HUGO FERNANDO GUIMARÃES AZEVEDO,0,0/0,0/0,,BRUNO PINTO,0,0/1,0/0,,VITOR MOREIRA,2,0/0,0/2,X,JOÃO FERREIRA ©,0,X,ÂNGELO GIRÃO,0,,FERRAN FONT,1,0/0,0/0,X,ESTEBAN ABALOS,0,0/0,0/0,X,PEDRO GIL,1,0/0,0/0,X,JOÃO PINTO,0,0/0,0/0,,DANIEL OLIVEIRA,1,0/0,0/0,X,ANDRÉ CENTENO,0,0/0,0/0,,RICARDO OLIVEIRA,1,0/0,0/0,,SERGIO MIRAS,0,0/0,0/0,,JOSÉ DIOGO MACEDO,0
OC BARCELOS 1617,AD VALONGO 1617,4,0/1,1/1,0,1,10,3,1/1,1/2,0,0,14,2016-10-29 00:00:00,ANTONIO SANTOS,SILVIA COELHO,MANUEL LEITE,X,RICARDO SILVA,0,,JOSÉ PEDRO PEREIRA,0,0/0,0/0,,JOÃO GUIMARÃES,0,0/0,0/0,,RÚBEN SOUSA,0,0/0,0/0,,HUGO COSTA,0,0/0,0/0,X,LUÍS QUERIDO,1,0/1,0/0,X,ALVARO MORAIS,2,0/0,1/1,X,REINALDO VENTURA,0,0/0,0/0,X,MIGUEL VIEIRA,1,0/0,0/0,,JOÃO PEREIRA,0,X,LEONARDO PAIS,0,X,JOÃO GUIMARÃES,1,0/0,0/0,,HUGO BARATA,0,0/0,0/0,,GUILHERME SILVA,0,0/0,0/0,,LUÍS MELO,0,0/0,0/0,X,JOÃO ALMEIDA,0,0/0,0/0,X,XAVIER CARDOSO,0,0/0,0/0,X,PEDRO MENDES,0,0/0,0/0,,RÚBEN PEREIRA,2,1/1,1/2,,RUI MENDES,0
