team1,team2,goals_1,penalties_1,direct_free_hits_1,warnings_1,blue_cards_1,fouls_1,goals_2,penalties_2,direct_free_hits_2,warnings_2,blue_cards_2,fouls_2,date,ref1,ref2,ref3,gr1_1_played,gr1_1_name,gr1_1_saves,pl1_1_played,pl1_1_name,pl1_1_goals,pl1_1_pens,pl1_1_dfh,pl2_1_played,pl2_1_name,pl2_1_goals,pl2_1_pens,pl2_1_dfh,pl3_1_played,pl3_1_name,pl3_1_goals,pl3_1_pens,pl3_1_dfh,pl4_1_played,pl4_1_name,pl4_1_goals,pl4_1_pens,pl4_1_dfh,pl5_1_played,pl5_1_name,pl5_1_goals,pl5_1_pens,pl5_1_dfh,pl6_1_played,pl6_1_name,pl6_1_goals,pl6_1_pens,pl6_1_dfh,pl7_1_played,pl7_1_name,pl7_1_goals,pl7_1_pens,pl7_1_dfh,pl8_1_played,pl8_1_name,pl8_1_goals,pl8_1_pens,pl8_1_dfh,gr2_1_played,gr2_1_name,gr2_1_saves,gr1_2_played,gr1_2_name,gr1_2_saves,pl1_2_played,pl1_2_name,pl1_2_goals,pl1_2_pens,pl1_2_dfh,pl2_2_played,pl2_2_name,pl2_2_goals,pl2_2_pens,pl2_2_dfh,pl3_2_played,pl3_2_name,pl3_2_goals,pl3_2_pens,pl3_2_dfh,pl4_2_played,pl4_2_name,pl4_2_goals,pl4_2_pens,pl4_2_dfh,pl5_2_played,pl5_2_name,pl5_2_goals,pl5_2_pens,pl5_2_dfh,pl6_2_played,pl6_2_name,pl6_2_goals,pl6_2_pens,pl6_2_dfh,pl7_2_played,pl7_2_name,pl7_2_goals,pl7_2_pens,pl7_2_dfh,pl8_2_played,pl8_2_name,pl8_2_goals,pl8_2_pens,pl8_2_dfh,gr2_2_played,gr2_2_name,gr2_2_saves
SPORTING CP 1819,SC MARINHENSE 1819,14,1/1,1/1,0,0,7,3,0/0,0/0,0,0,11,2019-01-05 00:00:00,RICARDO LEAO,MIGUEL GUILHERME,GISELA INFANTE,X,ÂNGELO GIRÃO,0,J,FERRAN FONT,1,0/0,0/0,X,RICARDO OLIVEIRA,0,0/0,0/0,J,PEDRO GIL,4,0/0,0/0,X,JOÃO PINTO,2,0/0,0/0,X,MATIAS PLATERO ,1,0/0,0/0,X,RAUL MARÍN,3,1/1,1/1,J,VITOR PINTO,2,0/0,0/0,J,HENRIQUE MAGALHÃES,1,0/0,0/0,J,JOSÉ DIOGO MACEDO,0,,MARCO GASPAR,0,J,GONÇALO DOMINGUES,0,0/0,0/0,X,JOÃO LOMBA,0,0/0,0/0,X,GONÇALO LOUZADA,0,0/0,0/0,X,DÁRIO SANTO,0,0/0,0/0,J,NICOLÁS CARMONA,2,0/0,0/0,J,FILIPE ALMEIDA,0,0/0,0/0,J,DAVID COSTA,1,0/0,0/0,X,FILIPE VAZ,0,0/0,0/0,X,NUNO PEÇA,0
SPORTING CP 1819,CD PAÇO ARCOS 1819,5,1/3,1/1,1,2,19,7,1/2,3/4,1,1,8,2019-01-12 00:00:00,JAIME VIEIRA,JOAQUIM SEQUEIRA,NUNO MONTEIRO,X,ÂNGELO GIRÃO,2,,FERRAN FONT,2,0/0,1/1,X,RICARDO OLIVEIRA,2,1/1,0/0,,JOÃO PINTO,0,0/0,0/0,X,MATIAS PLATERO,0,0/0,0/0,X,RAUL MARÍN,1,0/2,0/0,X,VITOR PINTO,0,0/0,0/0,,TONI PEREZ,0,0/0,0/0,,HENRIQUE MAGALHÃES,0,0/0,0/0,,JOSÉ DIOGO MACEDO,0,X,DIOGO RODRIGUES,1,X,TIAGO GOUVEIA,0,0/0,0/0,,PAULO JESUS,1,0/0,0/0,,JOÃO MENDES,0,0/0,0/0,,JOSÉ TIAGO,0,0/0,0/0,,BRUNO FRADE,1,0/0,0/0,X,TOMÁS MOREIRA,4,1/2,3/4,X,RAFAEL LOURENÇO,1,0/0,0/0,X,PEDRO VAZ,0,0/0,0/0,,DANIEL MACHIAL,0
SL BENFICA 1819,AJ VIANA 1819,5,1/1,0/1,1,1,14,3,1/3,0/3,2,1,9,2019-01-12 00:00:00,MIGUEL GUILHERME,RICARDO LEAO,GISELA INFANTE,X,PEDRO HENRIQUES,4,J,VALTER NEVES,0,0/0,0/0,X,ALBERT VÁZQUEZ,1,1/1,0/0,X,DIOGO RAFAEL,0,0/0,0/0,X,CARLOS NICOLIA,2,0/0,0/0,J,JORDI ADROHER,2,0/0,0/1,X,LUCAS ORDOÑEZ,0,0/0,0/0,J,MIGUEL ROCHA,0,0/0,0/0,J,MIGUEL VIEIRA,0,0/0,0/0,,MARCO BARROS,0,X,JORGE CORREIA ©,1,J,GUSTAVO LIMA,0,0/0,0/1,J,REMI HERMAN,1,0/1,0/1,X,FRANCISCO SILVA,1,1/2,0/1,X,ANTÓNIO SILVA,0,0/0,0/0,J,ARNAU XAUS,0,0/0,0/0,X,GONÇALO SUISSAS,1,0/0,0/0,J,NUNO SANTOS,0,0/0,0/0,X,NELSON PEREIRA,0,0/0,0/0,,BRUNO GUIA,0
SC TOMAR/IPT 1819,AD OEIRAS 1819,0,0/3,0/2,2,1,14,2,0/0,0/2,3,2,8,2019-01-12 00:00:00,PAULO ALMEIDA,PEDRO SILVA,HELDER PARDAL,,CARLOS SILVA,0,J,JOÃO SARDO,0,0/0,0/0,X,IVO SILVA,0,0/0,0/0,,MANUEL NEVES,0,0/0,0/0,J,GUILHERME SILVA,0,0/0,0/0,X,JOÃO CANDEIAS,0,0/2,0/0,J,HERNANI DINIZ,0,0/1,0/1,X,PEDRO MARTINS,0,0/0,0/0,X,ALEXANDRE MARQUES,0,0/0,0/0,X,DIOGO ALVES,2,X,ANTÓNIO SILVA,3,X,MATHIAS ARNAEZ,1,0/0,0/0,J,JOÃO ALVES,0,0/0,0/0,X,MIGUEL CATARINO,0,0/0,0/0,X,GONÇALO CONCEIÇÃO,1,0/0,0/0,J,FRANCO FERRUCCIO,0,0/0,0/0,X,TOMAS MENA,0,0/0,0/1,J,TIAGO NOGUEIRA,0,0/0,0/1,J,DIOGO ALVES,0,0/0,0/0,,BERNARDO SILVA,0
UD OLIVEIRENSE/SIMOLDES 1819,HC TURQUEL 1819,9,1/1,0/1,0,1,5,1,0/0,0/1,0,2,4,2019-01-12 00:00:00,LUIS PEIXOTO,JOAO DUARTE,SERGIO PAULO SILVA,X,DOMINGOS PINHO,1,J,XAVIER MAYORDOMO,2,0/0,0/0,J,PEDRO MOREIRA,0,0/0,0/0,X,MARC SAYO,1,0/0,0/0,X,JORDI BARGALLÓ,2,0/0,0/0,X,JORGE SILVA,2,0/0,0/0,J,PABLO CANCELA,1,0/0,0/1,X,RICARDO BARREIROS,1,1/1,0/0,J,EMANUEL GARCIA,0,0/0,0/0,,DIOGO ALMEIDA,0,J,SAMUEL SANTOS,0,X,DANIEL MATIAS,1,0/0,0/0,X,ANDRÉ MOREIRA,0,0/0,0/0,J,PEDRO BATISTA,0,0/0,0/0,,VASCO LUIS,0,0/0,0/1,X,LUIS SILVA,0,0/0,0/0,X,ANDRÉ PIMENTA,0,0/0,0/0,J,JOÃO SOUTO,0,0/0,0/0,J,TIAGO MATEUS,0,0/0,0/0,X,DIOGO ALMEIDA,0
FC PORTO/FIDELIDADE 1819,AD VALONGO 1819,8,0/0,2/4,0,1,10,0,0/2,0/2,1,1,13,2019-01-12 00:00:00,ORLANDO PANZA,PORFIRIO FERNANDES,JORGE MACHADO,X,CARLES GRAU,2,J,TELMO PINTO,1,0/0,0/0,X,GIULIO COCCO,2,0/0,0/0,,JOSE RAFAEL COSTA,0,0/0,0/0,J,HUGO SANTOS,1,0/0,0/0,J,DANIEL OLIVEIRA,0,0/0,0/2,X,REINALDO GARCIA,0,0/0,0/0,X,GONÇALO ALVES,3,0/0,1/1,X,HELDER NUNES,1,0/0,1/1,,NELSON FILIPE MAGALHAES,0,X,LEONARDO PAIS ©,1,X,NUNO ARAÚJO,0,0/2,0/0,J,DIOGO ABREU,0,0/0,0/0,X,DIOGO FERNANDES,0,0/0,0/1,J,JOÃO PEDRO,0,0/0,0/0,J,LUÍS MELO,0,0/0,0/0,X,PEDRO MENDES,0,0/0,0/0,J,RÚBEN PEREIRA,0,0/0,0/0,X,GONÇALO PINTO,0,0/0,0/1,J,RUI MENDES,0
HC BRAGA SAD 1819,RIBA D AVE HC 1819,3,0/0,0/1,0,1,17,3,1/1,0/2,1,1,11,2019-01-12 00:00:00,RUI TORRES,FLORINDO CARDOSO,PAULO RAINHA,X,CONSTANTINO ACEVEDO,2,J,JUAN GARCIA,0,0/0,0/0,J,ANTONIO TRABULO,1,0/0,0/0,X,ÂNGELO FERNANDES,0,0/0,0/0,X,CARLOS LOUREIRO,0,0/0,0/0,J,PEDRO SILVA,0,0/0,0/0,J,AFONSO LIMA,0,0/0,0/0,X,PEDRO DELGADO,2,0/0,0/1,X,TOMAS CASTANHEIRA,0,0/0,0/0,,GABRIEL COSTA,0,X,DIOGO FERNANDES,1,,GUILHERME FERREIRA,0,0/0,0/0,J,TOMÁS PEREIRA,0,0/0,0/0,J,DIOGO CARDOSO,1,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,X,NUNO PEREIRA,0,0/0,0/0,X,HUGO FERNANDO GUIMARÃES AZEVEDO,1,0/0,0/1,J,DANIEL PINHEIRO,0,0/0,0/1,X,BRUNO PINTO,1,1/1,0/0,,PEDRO FREITAS,0
SC MARINHENSE 1819,OC BARCELOS SAD 1819,3,0/0,1/2,0,0,8,5,0/0,0/0,2,0,15,2019-01-12 00:00:00,PAULO CARVALHO,TEOFILO CASIMIRO,PAULO SILVA,J,MARCO GASPAR,0,J,GONÇALO DOMINGUES,0,0/0,0/0,X,JOÃO LOMBA,1,0/0,0/0,,GONÇALO LOUZADA,0,0/0,0/0,J,DÁRIO SANTO,0,0/0,0/0,X,NICOLÁS CARMONA,0,0/0,0/0,X,FILIPE ALMEIDA,0,0/0,0/0,,DAVID COSTA,0,0/0,0/0,X,FILIPE VAZ,2,0/0,1/2,X,NUNO PEÇA,0,X,RICARDO SILVA ©,1,X,JOSÉ PEDRO PEREIRA,1,0/0,0/0,X,JOÃO ALMEIDA,0,0/0,0/0,J,JOÃO GUIMARÃES,0,0/0,0/0,J,HUGO COSTA,0,0/0,0/0,J,PEREIRA GONÇALO,0,0/0,0/0,X,GONÇALO NUNES,3,0/0,0/0,J,RÚBEN SOUSA,0,0/0,0/0,X,ALVARO MORAIS,1,0/0,0/0,,ANDRÉ ALMEIDA,0
AD VALONGO 1819,HC BRAGA SAD 1819,7,0/0,2/4,0,3,14,4,0/0,2/3,3,3,18,2019-01-19 00:00:00,PEDRO SILVA,JOAQUIM PINTO,CARLOS TADEIA,X,LEONARDO PAIS ©,0,X,NUNO ARAÚJO,1,0/0,0/0,J,RAFAEL MOREIRA,0,0/0,0/0,X,DIOGO FERNANDES,2,0/0,0/0,J,JOÃO PEDRO,1,0/0,0/0,J,LUÍS MELO,0,0/0,0/0,X,PEDRO MENDES,0,0/0,0/0,J,RÚBEN PEREIRA,0,0/0,0/1,X,GONÇALO PINTO,3,0/0,2/3,,RUI MENDES,0,X,CONSTANTINO ACEVEDO,0,X,JUAN GARCIA,1,0/0,0/0,J,ANTONIO TRABULO,0,0/0,0/0,J,ÂNGELO FERNANDES,2,0/0,1/1,X,CARLOS LOUREIRO,0,0/0,0/0,J,PEDRO SILVA,0,0/0,0/0,X,AFONSO LIMA,0,0/0,0/0,J,PEDRO DELGADO,1,0/0,1/1,X,TOMAS CASTANHEIRA,0,0/0,0/1,,GABRIEL COSTA,0
RIBA D AVE HC 1819,SC MARINHENSE 1819,4,1/1,0/2,0,0,9,3,0/0,0/0,0,1,13,2019-01-19 00:00:00,ANTONIO SANTOS,MANUEL OLIVEIRA,PAULO RAINHA,X,DIOGO FERNANDES,0,,GUILHERME FERREIRA,0,0/0,0/0,J,TOMÁS PEREIRA,2,1/1,0/1,X,DIOGO CARDOSO,0,0/0,0/1,X,DIOGO SEIXAS,0,0/0,0/0,X,NUNO PEREIRA,1,0/0,0/0,X,HUGO FERNANDO GUIMARÃES AZEVEDO,1,0/0,0/0,J,DANIEL PINHEIRO,0,0/0,0/0,J,BRUNO PINTO,0,0/0,0/0,,PEDRO FREITAS,0,X,MARCO GASPAR,1,J,GONÇALO DOMINGUES,0,0/0,0/0,X,JOÃO LOMBA,0,0/0,0/0,,GONÇALO LOUZADA,0,0/0,0/0,J,DÁRIO SANTO,1,0/0,0/0,X,NICOLÁS CARMONA,2,0/0,0/0,X,FILIPE ALMEIDA,0,0/0,0/0,,DAVID COSTA,0,0/0,0/0,X,FILIPE VAZ,0,0/0,0/0,,MÁRCIO ORNELAS,0
